itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
HVAC-0651,hvac,HVAC Testing and Commissioning,Vibration Testing,"Perform vibration testing and submit calibrated test records, certificates and corrective action reports. | MasterFormat: 23 08 00 | OmniClass: Table 32 – Services | Spec: System/Area: ___ | Test Method: ___ | Acceptance Criteria: ___ | Standard: ___ | Report Format: ___",,no.,,,,,,,
HVAC-0652,hvac,HVAC Testing and Commissioning,Indoor Air Quality Testing,"Perform indoor air quality testing and submit calibrated test records, certificates and corrective action reports. | MasterFormat: 23 08 00 | OmniClass: Table 32 – Services | Spec: System/Area: ___ | Test Method: ___ | Acceptance Criteria: ___ | Standard: ___ | Report Format: ___",,no.,,,,,,,
HVAC-0653,hvac,HVAC Testing and Commissioning,Thermographic Inspection,"Perform thermographic inspection and submit calibrated test records, certificates and corrective action reports. | MasterFormat: 23 08 00 | OmniClass: Table 32 – Services | Spec: System/Area: ___ | Test Method: ___ | Acceptance Criteria: ___ | Standard: ___ | Report Format: ___",,LS,,,,,,,
HVAC-0654,hvac,HVAC Testing and Commissioning,Duct Cleaning,"Perform duct cleaning and submit calibrated test records, certificates and corrective action reports. | MasterFormat: 23 08 00 | OmniClass: Table 32 – Services | Spec: System/Area: ___ | Test Method: ___ | Acceptance Criteria: ___ | Standard: ___ | Report Format: ___",,m²,,,,,,,
HVAC-0655,hvac,HVAC Testing and Commissioning,Coil Chemical Cleaning,"Perform coil chemical cleaning and submit calibrated test records, certificates and corrective action reports. | MasterFormat: 23 08 00 | OmniClass: Table 32 – Services | Spec: System/Area: ___ | Test Method: ___ | Acceptance Criteria: ___ | Standard: ___ | Report Format: ___",,m²,,,,,,,
HVAC-0656,hvac,HVAC Testing and Commissioning,System Chlorination Service,"Perform system chlorination service and submit calibrated test records, certificates and corrective action reports. | MasterFormat: 23 08 00 | OmniClass: Table 32 – Services | Spec: System/Area: ___ | Test Method: ___ | Acceptance Criteria: ___ | Standard: ___ | Report Format: ___",,LS,,,,,,,
HVAC-0657,hvac,HVAC Testing and Commissioning,Refrigerant Charging,"Perform refrigerant charging and submit calibrated test records, certificates and corrective action reports. | MasterFormat: 23 08 00 | OmniClass: Table 32 – Services | Spec: System/Area: ___ | Test Method: ___ | Acceptance Criteria: ___ | Standard: ___ | Report Format: ___",,kg,,,,,,,
HVAC-0658,hvac,HVAC Testing and Commissioning,Refrigerant Recovery And Disposal,"Perform refrigerant recovery and disposal and submit calibrated test records, certificates and corrective action reports. | MasterFormat: 23 08 00 | OmniClass: Table 32 – Services | Spec: System/Area: ___ | Test Method: ___ | Acceptance Criteria: ___ | Standard: ___ | Report Format: ___",,kg,,,,,,,
HVAC-0659,hvac,Specialist HVAC Systems,Smoke Control Panel,"Supply, install, connect, test and commission smoke control panel, complete with controls and standard accessories. | MasterFormat: 23 09 00 | OmniClass: 23-33 00 00 HVAC Specific Products and Equipment | Spec: Capacity/Airflow: ___ | Pressure: ___ | Power: ___ | Fire/Safety Rating: ___ | Control Interface: ___ | Standard: ___",,no.,,,,,,,
HVAC-0660,hvac,Specialist HVAC Systems,Stair Pressurization Control Panel,"Supply, install, connect, test and commission stair pressurization control panel, complete with controls and standard accessories. | MasterFormat: 23 09 00 | OmniClass: 23-33 00 00 HVAC Specific Products and Equipment | Spec: Capacity/Airflow: ___ | Pressure: ___ | Power: ___ | Fire/Safety Rating: ___ | Control Interface: ___ | Standard: ___",,no.,,,,,,,
HVAC-0661,hvac,Specialist HVAC Systems,Car Park Co Ventilation Control Panel,"Supply, install, connect, test and commission car park CO ventilation control panel, complete with controls and standard accessories. | MasterFormat: 23 09 00 | OmniClass: 23-33 00 00 HVAC Specific Products and Equipment | Spec: Capacity/Airflow: ___ | Pressure: ___ | Power: ___ | Fire/Safety Rating: ___ | Control Interface: ___ | Standard: ___",,no.,,,,,,,
HVAC-0662,hvac,Specialist HVAC Systems,Smoke Extract Ductwork,"Supply, install, connect, test and commission smoke extract ductwork, complete with controls and standard accessories. | MasterFormat: 23 31 00 | OmniClass: 23-33 00 00 HVAC Specific Products and Equipment | Spec: Capacity/Airflow: ___ | Pressure: ___ | Power: ___ | Fire/Safety Rating: ___ | Control Interface: ___ | Standard: ___",,no.,,,,,,,
HVAC-0663,hvac,Specialist HVAC Systems,Smoke Extract Shaft Pressurization Grille,"Supply, install, connect, test and commission smoke extract shaft pressurization grille, complete with controls and standard accessories. | MasterFormat: 23 37 00 | OmniClass: 23-33 00 00 HVAC Specific Products and Equipment | Spec: Capacity/Airflow: ___ | Pressure: ___ | Power: ___ | Fire/Safety Rating: ___ | Control Interface: ___ | Standard: ___",,no.,,,,,,,
HVAC-0664,hvac,Specialist HVAC Systems,Fire-Rated Access Door,"Supply, install, connect, test and commission fire-rated access door, complete with controls and standard accessories. | MasterFormat: 23 33 00 | OmniClass: 23-33 00 00 HVAC Specific Products and Equipment | Spec: Capacity/Airflow: ___ | Pressure: ___ | Power: ___ | Fire/Safety Rating: ___ | Control Interface: ___ | Standard: ___",,no.,,,,,,,
HVAC-0665,hvac,Specialist HVAC Systems,Kitchen Ecology Unit,"Supply, install, connect, test and commission kitchen ecology unit, complete with controls and standard accessories. | MasterFormat: 23 38 00 | OmniClass: 23-33 00 00 HVAC Specific Products and Equipment | Spec: Capacity/Airflow: ___ | Pressure: ___ | Power: ___ | Fire/Safety Rating: ___ | Control Interface: ___ | Standard: ___",,no.,,,,,,,
HVAC-0666,hvac,Specialist HVAC Systems,Kitchen Exhaust Odor Control Unit,"Supply, install, connect, test and commission kitchen exhaust odor control unit, complete with controls and standard accessories. | MasterFormat: 23 38 00 | OmniClass: 23-33 00 00 HVAC Specific Products and Equipment | Spec: Capacity/Airflow: ___ | Pressure: ___ | Power: ___ | Fire/Safety Rating: ___ | Control Interface: ___ | Standard: ___",,no.,,,,,,,
HVAC-0667,hvac,Specialist HVAC Systems,Kitchen Exhaust Electrostatic Precipitator,"Supply, install, connect, test and commission kitchen exhaust electrostatic precipitator, complete with controls and standard accessories. | MasterFormat: 23 38 00 | OmniClass: 23-33 00 00 HVAC Specific Products and Equipment | Spec: Capacity/Airflow: ___ | Pressure: ___ | Power: ___ | Fire/Safety Rating: ___ | Control Interface: ___ | Standard: ___",,no.,,,,,,,
HVAC-0668,hvac,Specialist HVAC Systems,Kitchen Make-Up Air Unit,"Supply, install, connect, test and commission kitchen make-up air unit, complete with controls and standard accessories. | MasterFormat: 23 74 00 | OmniClass: 23-33 00 00 HVAC Specific Products and Equipment | Spec: Capacity/Airflow: ___ | Pressure: ___ | Power: ___ | Fire/Safety Rating: ___ | Control Interface: ___ | Standard: ___",,no.,,,,,,,
HVAC-0669,hvac,Specialist HVAC Systems,Laboratory Fume Extraction Fan,"Supply, install, connect, test and commission laboratory fume extraction fan, complete with controls and standard accessories. | MasterFormat: 23 34 00 | OmniClass: 23-33 00 00 HVAC Specific Products and Equipment | Spec: Capacity/Airflow: ___ | Pressure: ___ | Power: ___ | Fire/Safety Rating: ___ | Control Interface: ___ | Standard: ___",,no.,,,,,,,
HVAC-0670,hvac,Specialist HVAC Systems,Laboratory Fume Hood Exhaust Connection,"Supply, install, connect, test and commission laboratory fume hood exhaust connection, complete with controls and standard accessories. | MasterFormat: 23 38 00 | OmniClass: 23-33 00 00 HVAC Specific Products and Equipment | Spec: Capacity/Airflow: ___ | Pressure: ___ | Power: ___ | Fire/Safety Rating: ___ | Control Interface: ___ | Standard: ___",,no.,,,,,,,
HVAC-0671,hvac,Specialist HVAC Systems,Medical Isolation Room Pressure Monitor,"Supply, install, connect, test and commission medical isolation room pressure monitor, complete with controls and standard accessories. | MasterFormat: 23 09 23 | OmniClass: 23-33 00 00 HVAC Specific Products and Equipment | Spec: Capacity/Airflow: ___ | Pressure: ___ | Power: ___ | Fire/Safety Rating: ___ | Control Interface: ___ | Standard: ___",,no.,,,,,,,
HVAC-0672,hvac,Specialist HVAC Systems,Cleanroom Terminal Hepa Module,"Supply, install, connect, test and commission cleanroom terminal HEPA module, complete with controls and standard accessories. | MasterFormat: 23 40 00 | OmniClass: 23-33 00 00 HVAC Specific Products and Equipment | Spec: Capacity/Airflow: ___ | Pressure: ___ | Power: ___ | Fire/Safety Rating: ___ | Control Interface: ___ | Standard: ___",,no.,,,,,,,
HVAC-0673,hvac,Specialist HVAC Systems,Cleanroom Fan Filter Unit,"Supply, install, connect, test and commission cleanroom fan filter unit, complete with controls and standard accessories. | MasterFormat: 23 40 00 | OmniClass: 23-33 00 00 HVAC Specific Products and Equipment | Spec: Capacity/Airflow: ___ | Pressure: ___ | Power: ___ | Fire/Safety Rating: ___ | Control Interface: ___ | Standard: ___",,no.,,,,,,,
HVAC-0674,hvac,Specialist HVAC Systems,Cleanroom Pressure Relief Damper,"Supply, install, connect, test and commission cleanroom pressure relief damper, complete with controls and standard accessories. | MasterFormat: 23 33 00 | OmniClass: 23-33 00 00 HVAC Specific Products and Equipment | Spec: Capacity/Airflow: ___ | Pressure: ___ | Power: ___ | Fire/Safety Rating: ___ | Control Interface: ___ | Standard: ___",,no.,,,,,,,
HVAC-0675,hvac,Specialist HVAC Systems,Data Center Containment Cooling Unit,"Supply, install, connect, test and commission data center containment cooling unit, complete with controls and standard accessories. | MasterFormat: 23 81 00 | OmniClass: 23-33 00 00 HVAC Specific Products and Equipment | Spec: Capacity/Airflow: ___ | Pressure: ___ | Power: ___ | Fire/Safety Rating: ___ | Control Interface: ___ | Standard: ___",,no.,,,,,,,
HVAC-0676,hvac,Specialist HVAC Systems,Telecom Room Split Ac Unit,"Supply, install, connect, test and commission telecom room split AC unit, complete with controls and standard accessories. | MasterFormat: 23 81 26 | OmniClass: 23-33 00 00 HVAC Specific Products and Equipment | Spec: Capacity/Airflow: ___ | Pressure: ___ | Power: ___ | Fire/Safety Rating: ___ | Control Interface: ___ | Standard: ___",,no.,,,,,,,
HVAC-0677,hvac,Specialist HVAC Systems,Elevator Machine Room Ac Unit,"Supply, install, connect, test and commission elevator machine room AC unit, complete with controls and standard accessories. | MasterFormat: 23 81 26 | OmniClass: 23-33 00 00 HVAC Specific Products and Equipment | Spec: Capacity/Airflow: ___ | Pressure: ___ | Power: ___ | Fire/Safety Rating: ___ | Control Interface: ___ | Standard: ___",,no.,,,,,,,
HVAC-0678,hvac,Specialist HVAC Systems,Cold Room Condensing Unit,"Supply, install, connect, test and commission cold room condensing unit, complete with controls and standard accessories. | MasterFormat: 23 81 00 | OmniClass: 23-33 00 00 HVAC Specific Products and Equipment | Spec: Capacity/Airflow: ___ | Pressure: ___ | Power: ___ | Fire/Safety Rating: ___ | Control Interface: ___ | Standard: ___",,no.,,,,,,,
HVAC-0679,hvac,Specialist HVAC Systems,Cold Room Evaporator Unit,"Supply, install, connect, test and commission cold room evaporator unit, complete with controls and standard accessories. | MasterFormat: 23 81 00 | OmniClass: 23-33 00 00 HVAC Specific Products and Equipment | Spec: Capacity/Airflow: ___ | Pressure: ___ | Power: ___ | Fire/Safety Rating: ___ | Control Interface: ___ | Standard: ___",,no.,,,,,,,
HVAC-0680,hvac,Specialist HVAC Systems,Refrigerant Detection And Ventilation System,"Supply, install, connect, test and commission refrigerant detection and ventilation system, complete with controls and standard accessories. | MasterFormat: 23 09 23 | OmniClass: 23-33 00 00 HVAC Specific Products and Equipment | Spec: Capacity/Airflow: ___ | Pressure: ___ | Power: ___ | Fire/Safety Rating: ___ | Control Interface: ___ | Standard: ___",,no.,,,,,,,
HVAC-0681,hvac,Specialist HVAC Systems,Plantroom Ventilation System,"Supply, install, connect, test and commission plantroom ventilation system, complete with controls and standard accessories. | MasterFormat: 23 34 00 | OmniClass: 23-33 00 00 HVAC Specific Products and Equipment | Spec: Capacity/Airflow: ___ | Pressure: ___ | Power: ___ | Fire/Safety Rating: ___ | Control Interface: ___ | Standard: ___",,no.,,,,,,,
HVAC-0682,hvac,HVAC Ancillary and Interface Items,Local Isolator For Hvac Equipment,"Supply and install local isolator for HVAC equipment, complete with all required fixing, sealing and interface accessories. | MasterFormat: 23 05 00 | OmniClass: 23-27 00 00 General Purpose Products | Spec: Size/Capacity: ___ | Material: ___ | Rating: ___ | Finish: ___ | Standard: ___",,no.,,,,,,,
HVAC-0683,hvac,HVAC Ancillary and Interface Items,Weatherproof Isolator For Hvac Equipment,"Supply and install weatherproof isolator for HVAC equipment, complete with all required fixing, sealing and interface accessories. | MasterFormat: 23 05 00 | OmniClass: 23-27 00 00 General Purpose Products | Spec: Size/Capacity: ___ | Material: ___ | Rating: ___ | Finish: ___ | Standard: ___",,no.,,,,,,,
HVAC-0684,hvac,HVAC Ancillary and Interface Items,Hvac Power Cable,"Supply and install HVAC power cable, complete with all required fixing, sealing and interface accessories. | MasterFormat: 23 05 00 | OmniClass: 23-27 00 00 General Purpose Products | Spec: Size/Capacity: ___ | Material: ___ | Rating: ___ | Finish: ___ | Standard: ___",,LM,,,,,,,
HVAC-0685,hvac,HVAC Ancillary and Interface Items,Hvac Control Cable,"Supply and install HVAC control cable, complete with all required fixing, sealing and interface accessories. | MasterFormat: 23 05 00 | OmniClass: 23-27 00 00 General Purpose Products | Spec: Size/Capacity: ___ | Material: ___ | Rating: ___ | Finish: ___ | Standard: ___",,LM,,,,,,,
HVAC-0686,hvac,HVAC Ancillary and Interface Items,Hvac Cable Tray,"Supply and install HVAC cable tray, complete with all required fixing, sealing and interface accessories. | MasterFormat: 23 05 00 | OmniClass: 23-27 00 00 General Purpose Products | Spec: Size/Capacity: ___ | Material: ___ | Rating: ___ | Finish: ___ | Standard: ___",,LM,,,,,,,
HVAC-0687,hvac,HVAC Ancillary and Interface Items,Hvac Cable Conduit,"Supply and install HVAC cable conduit, complete with all required fixing, sealing and interface accessories. | MasterFormat: 23 05 00 | OmniClass: 23-27 00 00 General Purpose Products | Spec: Size/Capacity: ___ | Material: ___ | Rating: ___ | Finish: ___ | Standard: ___",,LM,,,,,,,
HVAC-0688,hvac,HVAC Ancillary and Interface Items,Equipment Earthing Connection,"Supply and install equipment earthing connection, complete with all required fixing, sealing and interface accessories. | MasterFormat: 23 05 00 | OmniClass: 23-27 00 00 General Purpose Products | Spec: Size/Capacity: ___ | Material: ___ | Rating: ___ | Finish: ___ | Standard: ___",,no.,,,,,,,
HVAC-0689,hvac,HVAC Ancillary and Interface Items,Anti-Condensation Heater,"Supply and install anti-condensation heater, complete with all required fixing, sealing and interface accessories. | MasterFormat: 23 05 00 | OmniClass: 23-27 00 00 General Purpose Products | Spec: Size/Capacity: ___ | Material: ___ | Rating: ___ | Finish: ___ | Standard: ___",,no.,,,,,,,
HVAC-0690,hvac,HVAC Ancillary and Interface Items,Condensate Lift Pump,"Supply and install condensate lift pump, complete with all required fixing, sealing and interface accessories. | MasterFormat: 23 05 00 | OmniClass: 23-27 00 00 General Purpose Products | Spec: Size/Capacity: ___ | Material: ___ | Rating: ___ | Finish: ___ | Standard: ___",,no.,,,,,,,
